size;filename;cpu_time;gpu_naive_kernel;accel_naive_kernel;gpu_naive_tot;accel_naive_tot;gpu_shared_kernel;accel_shared_kernel;gpu_shared_tot;accel_shared_tot
512*512;baboon.pgm;2.7325e-12;1.60419e-13;17.0335;1.11773e-12;2.44468;6.75583e-14;40.4465;7.81109e-13;3.49823
512*512;barbara.pgm;2.75788e-12;1.48872e-13;18.5251;1.00055e-12;2.75638;5.92766e-14;46.5256;5.77686e-13;4.77401
321*481;bird.pgm;2.78113e-12;2.34772e-13;11.8461;1.31793e-12;2.11022;9.87364e-14;28.1672;6.89652e-13;4.03265
481*321;buffalo.pgm;2.74045e-12;2.0836e-13;13.1525;1.3511e-12;2.02831;9.78426e-14;28.0087;6.22295e-13;4.40378
2048*2048;Carre.pgm;2.89454e-12;9.73797e-15;297.243;1.2102e-12;2.39179;5.30148e-15;545.988;5.49668e-13;5.26599  
460*360;casablanca.pgm;2.80711e-12;3.67566e-13;7.63702;1.33664e-12;2.10013;9.56763e-14;29.3397;6.02808e-13;4.6567
300*246;coins.pgm;3.16154e-12;4.02846e-13;7.84803;1.75656e-12;1.79985;1.95e-13;16.213;9.42764e-13;3.35348
1000*754;dewey_defeats_truman.pgm;2.73088e-12;4.94483e-14;55.2269;8.96865e-13;3.04491;2.05889e-14;132.638;5.18836e-13;5.26347
4000*2667;Drone_huge.pgm;2.82904e-12;3.68898e-15;766.891;8.63646e-13;3.2757;2.53056e-15;1117.95;5.19824e-13;5.44231
720*480;Drone.pgm;2.74539e-12;1.2469e-13;22.0176;9.64216e-13;2.84728;4.66348e-14;58.8699;5.62616e-13;4.87969
633*621;ladyzhenskaya.pgm;2.86946e-12;1.12042e-13;25.6105;1.01572e-12;2.82504;4.21325e-14;68.1055;5.80517e-13;4.94294
512*512;lena_noisy.pgm;2.72403e-12;1.59737e-13;17.0533;1.09237e-12;2.4937;6.08826e-14;44.7424;6.82018e-13;3.99408
512*512;lena.pgm;2.76708e-12;1.53351e-13;18.0441;9.96281e-13;2.77741;5.60608e-14;49.3586;5.86437e-13;4.71846
481*321;milking.pgm;2.73675e-12;2.1428e-13;12.7719;1.22172e-12;2.24008;9.63465e-14;28.4053;6.39011e-13;4.28279
250*360;mona_lisa.pgm;2.84266e-12;3.39911e-13;8.36294;1.68812e-12;1.68392;1.70544e-13;16.6681;7.76522e-13;3.66075
256*256;pepper.pgm;2.7635e-12;4.25949e-13;6.48787;1.68178e-12;1.6432;2.03888e-13;13.554;1.00011e-12;2.76321
295*400;snap.pgm;2.7611e-12;2.56839e-13;10.7503;1.64319e-12;1.68033;1.39161e-13;19.8411;7.13449e-13;3.87007
640*480;surf.pgm;2.74786e-12;1.35303e-13;20.309;1.00903e-12;2.72327;4.83398e-14;56.8447;5.88652e-13;4.66806